Age of 118th Congress,Title,Party,Birth Month & Day,Age,Number of Terms
Sen. Tammy Baldwin (D-WI),US Senator,Democrat,2/11/1962,61.0,2
Sen. John Barrasso (R-WY),US Senator,Republican,7/21/1952,71.0,4
Sen. Michael Bennet (D-CO),US Senator,Democrat,11/28/1964,58.0,4
Sen. Marsha Blackburn (R-TN),US Senator,Republican,6/6/1952,71.0,1
"Sen. Richard ""Dick"" Blumenthal (D-CT)",US Senator,Democrat,2/13/1946,77.0,3
Sen. Cory Booker (D-NJ),US Senator,Democrat,4/27/1969,54.0,3
Sen. John Boozman (R-AR),US Senator,Republican,12/10/1950,72.0,3
Sen. Mike Braun (R-IN),US Senator,Republican,3/24/1954,69.0,1
Sen. Katie Britt (R-AL),US Senator,Republican,2/2/1982,41.0,1
Sen. Sherrod Brown (D-OH),US Senator,Democrat,11/9/1952,70.0,3
Sen. Ted Budd (R-NC),US Senator,Republican,10/21/1971,52.0,1
Sen. Laphonza Butler (D-CA),US Senator,Democrat,,,1
Sen. Maria Cantwell (D-WA),US Senator,Democrat,10/13/1958,65.0,4
Sen. Shelley Capito (R-WV),US Senator,Republican,11/26/1953,69.0,2
Sen. Ben Cardin (D-MD),US Senator,Democrat,10/5/1943,80.0,3
Sen. Tom Carper (D-DE),US Senator,Democrat,1/23/1947,76.0,4
Sen. Bob Casey (D-PA),US Senator,Democrat,4/13/1960,63.0,3
Sen. Bill Cassidy (R-LA),US Senator,Republican,9/28/1957,66.0,2
Sen. Susan Collins (R-ME),US Senator,Republican,12/7/1952,70.0,5
Sen. Chris Coons (D-DE),US Senator,Democrat,9/9/1963,60.0,3
Sen. John Cornyn (R-TX),US Senator,Republican,2/2/1952,71.0,4
Sen. Catherine Cortez Masto (D-NV),US Senator,Democrat,3/29/1964,59.0,2
Sen. Tom Cotton (R-AR),US Senator,Republican,5/13/1977,46.0,2
Sen. Kevin Cramer (R-ND),US Senator,Republican,1/21/1961,62.0,1
Sen. Mike Crapo (R-ID),US Senator,Republican,5/20/1951,72.0,5
Sen. Ted Cruz (R-TX),US Senator,Republican,12/22/1970,52.0,2
Sen. Steve Daines (R-MT),US Senator,Republican,8/20/1962,61.0,2
Sen. Tammy Duckworth (D-IL),US Senator,Democrat,3/12/1968,55.0,2
Whip Dick Durbin (D-IL),US Senator,Democrat,11/21/1944,78.0,5
Sen. Joni Ernst (R-IA),US Senator,Republican,7/1/1970,53.0,2
Sen. John Fetterman (D-PA),US Senator,Democrat,8/15/1969,54.0,1
Sen. Deb Fischer (R-NE),US Senator,Republican,3/1/1951,72.0,2
Sen. Kirsten Gillibrand (D-NY),US Senator,Democrat,12/9/1966,56.0,4
Sen. Lindsey Graham (R-SC),US Senator,Republican,7/9/1955,68.0,4
Sen. Chuck Grassley (R-IA),US Senator,Republican,9/17/1933,90.0,8
Sen. Bill Hagerty (R-TN),US Senator,Republican,8/14/1959,64.0,1
Sen. Maggie Hassan (D-NH),US Senator,Democrat,2/27/1958,65.0,2
Sen. Josh Hawley (R-MO),US Senator,Republican,12/31/1979,43.0,1
Sen. Martin Heinrich (D-NM),US Senator,Democrat,10/17/1971,52.0,2
Sen. John Hickenlooper (D-CO),US Senator,Democrat,2/7/1952,71.0,1
Sen. Mazie Hirono (D-HI),US Senator,Democrat,11/3/1947,75.0,2
Sen. John Hoeven (R-ND),US Senator,Republican,3/13/1957,66.0,3
